timestamp,throughput_mbps,sv0,sv1,sv2,sv3,sv4,sv5,sv6,sv7,capacity,rank,condition_number,frame,slot,mcs,qm,tbs_bits,layers,nprb,nsymb,rv,new_data_indicator,target_code_rate,bitrate_bps,dlsch_received,dlsch_errors,bler,rsrp_dBm,rssi_dBm,sinr_dB,freq_offset_hz,n_rb_dl,scs,nb_antennas_rx,raw_channel_power_db,valid_subcarriers,uncompensated_channel_power_dbm,rsrp_calibrated_gain_db,rsrp_calibrated_scale,channel_normalization_scale,average_svd_capacity,best_svd_capacity,optimal_stream_number_svd,best_zf_capacity,optimal_stream_number_zf,svd_condition_number,svd_rank,raw_average_svd_capacity,raw_best_svd_capacity,raw_best_zf_capacity,predicted_linear_rsrp_dBm,predicted_poly_rsrp_dBm,predicted_linear_average_svd_capacity,predicted_poly_average_svd_capacity,predicted_linear_best_svd_capacity,predicted_poly_best_svd_capacity,predicted_linear_best_zf_capacity,predicted_poly_best_zf_capacity
20260803_215729_851307,0.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,418,15,16,6,6016,2,5,13,0,1,7190,0,0,0,0,-44,-183,-9.6,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215731_353249,76.5,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,694,15,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-10.0,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215732_358289,157.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,868,11,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.9,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215733_354710,160.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,20,15,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.7,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215734_354671,149.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,197,2,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.8,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215735_357156,158.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,375,2,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.8,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215736_354470,160.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,550,5,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.8,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215737_354763,161.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,727,0,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.7,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215738_353166,160.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,907,5,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.8,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
20260803_215739_355920,160.0,610.2122032695763,413.9788380410041,0.0,0.0,0.0,0.0,0.0,0.0,49.18042542786317,2,1.4740528332943328,66,15,27,8,10760,2,5,13,0,1,9480,0,0,0,0,-44,-183,-9.6,10,106,30000,2,57.354859732725785,1272,-36.06743848951215,7.932561510487851,8.555728869706364e-06,0.004288022083873123,9.205035570650015,9.205035570650015,2,7.1183247850049725,2,1.4740528332943328,2,40.53657157437478,40.53657157437478,38.32440455847749,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.85294117647058,144.8529411764706
